排名,电影名,上映时间,评分,票房,平均票价,场均人次,电影标签,出品地区
92,悬崖之上,2021-04-30,9.1,119152,38.56635,12,"剧情,悬疑,动作",中国大陆
93,湄公河行动,2016-09-30,9.3,118685,30.444935,24,"剧情,动作,犯罪",中国大陆
94,人生路不熟,2023-04-28,9.2,118486,41.487186,9,"喜剧,剧情",中国大陆
95,叶问4：完结篇,2019-12-20,9.3,118170,35.41724,11,"动作,剧情,传记","中国大陆,中国香港"
96,加勒比海盗5：死无对证,2017-05-26,8.9,118007,35.81335,22,"喜剧,动作,奇幻",美国
97,长城,2016-12-16,8.4,117311,35.158714,21,"剧情,冒险,奇幻","中国大陆,美国"
98,心花路放,2014-09-30,9.0,116958,34.440758,36,"爱情,喜剧",中国大陆
99,煎饼侠,2015-07-17,8.5,116018,32.674587,39,喜剧,中国大陆
100,金刚：骷髅岛,2017-03-24,8.3,115892,35.14932,20,"动作,冒险,奇幻",美国
101,大黄蜂,2019-01-04,9.1,114973,35.910618,11,"动作,冒险,科幻",美国
102,金刚川,2020-10-23,9.4,112702,36.99133,8,"战争,剧情,历史",中国大陆
103,极限特工：终极回归,2017-02-10,8.7,112517,36.20821,23,"动作,惊悚,冒险",美国
104,误杀2,2021-12-17,9.0,112143,39.257664,9,"剧情,犯罪,家庭",中国大陆
105,澳门风云3,2016-02-08,6.9,111640,35.636642,36,"喜剧,动作",中国大陆
106,生化危机：终章,2017-02-24,8.5,110949,34.683666,20,"动作,惊悚,科幻",德国
107,攀登者,2019-09-30,9.4,110433,36.99075,21,"剧情,冒险",中国大陆
108,变形金刚3,2011-07-21,8.6,107095,41.80155,54,"动作,科幻",美国
109,侏罗纪世界3,2022-06-10,8.0,105944,35.558052,8,"动作,冒险,科幻",美国
110,巨齿鲨,2018-08-10,8.7,105374,38.287125,21,"动作,冒险,科幻",美国
111,乘风破浪,2017-01-28,8.7,104605,36.31127,27,"剧情,喜剧,冒险",中国大陆
112,西游记之大闹天宫,2014-01-31,5.2,104499,41.9303,40,"动作,奇幻","中国大陆,中国香港"
113,神偷奶爸3,2017-07-07,8.8,103791,34.058384,20,"喜剧,动画,冒险",美国
114,刺杀小说家,2021-02-12,8.6,103520,47.265385,16,"奇幻,动作,冒险",中国大陆
115,惊奇队长,2019-03-08,8.7,103517,37.17914,14,"动作,冒险,科幻",美国
116,前任4：英年早婚,2023-09-28,8.7,101229,42.32929,10,"爱情,喜剧",中国大陆
117,狂暴巨兽,2018-04-13,8.9,100397,34.81579,13,"动作,冒险,科幻",美国
118,盗墓笔记,2016-08-05,8.0,100310,35.231415,27,"惊悚,悬疑,奇幻",中国大陆
119,功夫熊猫3,2016-01-29,9.0,100054,35.606182,25,动画,"美国,中国大陆"
120,速度与激情10,2023-05-17,8.8,98476,37.62571,9,动作,美国
121,熊出没·重返地球,2022-02-01,9.4,97772,46.636467,16,"动画,剧情,科幻",中国大陆
122,奇幻森林,2016-04-15,8.9,97684,33.531403,24,"剧情,冒险,奇幻",美国
123,澳门风云2,2015-02-19,8.7,97263,39.20782,36,"喜剧,动作",中国大陆
124,比悲伤更悲伤的故事,2019-03-14,8.1,95843,30.736097,15,"剧情,爱情",中国台湾
125,哥斯拉大战金刚2：帝国崛起,2024-03-29,9.3,95693,42.801796,7,"动作,冒险,科幻",美国
126,西游记之大圣归来,2015-07-10,9.3,95462,34.659386,34,动画,中国大陆
127,哥斯拉2：怪兽之王,2019-05-31,8.5,93740,36.072906,14,"科幻,灾难,动作",美国
128,穿过寒冬拥抱你,2021-12-31,9.5,93685,42.4282,10,"剧情,爱情",中国大陆
129,无名,2023-01-22,9.0,93143,52.474125,17,"谍战,悬疑,动作,剧情",中国大陆
130,扬名立万,2021-11-11,9.1,92669,38.033257,7,"悬疑,喜剧,剧情",中国大陆
